"Address","Content","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keyword 1","Meta Keywords 1 Length","H1-1","H1-1 length","H1-2","H1-2 length","H2-1","H2-1 length","H2-2","H2-2 length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","% of Total","Outlinks","Unique Outlinks","External Outlinks","Unique External Outlinks","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","URL Encoded Address"
"https://www.multfun.tk/img/posters/phineasandferb.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","121272","0","0.0","2","","0","0","0.0","0","0","0","0","","0.993","","","","https://www.multfun.tk/img/posters/phineasandferb.png"
"https://www.multfun.tk/cartoons/hilda","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","3609","0","0.0","2","","12","12","38.71","0","0","0","0","","0.495","","https://www.multfun.tk/cartoons/hilda/","HTTP Redirect","https://www.multfun.tk/cartoons/hilda"
"https://www.multfun.tk/cartoons/americandad","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","3449","0","0.0","2","","12","12","38.71","0","0","0","0","","1.009","","https://www.multfun.tk/cartoons/americandad/","HTTP Redirect","https://www.multfun.tk/cartoons/americandad"
"https://www.multfun.tk/cartoons/phineasandferb","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","3421","0","0.0","2","","12","12","38.71","0","0","0","0","","0.875","","https://www.multfun.tk/cartoons/phineasandferb/","HTTP Redirect","https://www.multfun.tk/cartoons/phineasandferb"
"https://www.multfun.tk/img/posters/invaderzim.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","95625","0","0.0","2","","0","0","0.0","0","0","0","0","","0.5","","","","https://www.multfun.tk/img/posters/invaderzim.png"
"https://www.multfun.tk/cartoons/clevelandshow","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","3443","0","0.0","2","","14","14","45.16","0","0","0","0","","0.335","","https://www.multfun.tk/cartoons/clevelandshow/","HTTP Redirect","https://www.multfun.tk/cartoons/clevelandshow"
"https://www.multfun.tk/img/posters/southpark.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","221467","0","0.0","2","","0","0","0.0","0","0","0","0","","0.354","","","","https://www.multfun.tk/img/posters/southpark.png"
"https://www.multfun.tk/img/posters/starvs.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","142437","0","0.0","2","","0","0","0.0","0","0","0","0","","0.398","","","","https://www.multfun.tk/img/posters/starvs.png"
"https://www.multfun.tk/img/posters/americandad.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","139176","0","0.0","2","","0","0","0.0","0","0","0","0","","0.331","","","","https://www.multfun.tk/img/posters/americandad.png"
"https://www.multfun.tk/img/posters/gravityfalls.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","225119","0","0.0","2","","0","0","0.0","0","0","0","0","","0.374","","","","https://www.multfun.tk/img/posters/gravityfalls.png"
"https://www.multfun.tk/img/posters/rickandmorty.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","260796","0","0.0","2","","0","0","0.0","0","0","0","0","","0.476","","","","https://www.multfun.tk/img/posters/rickandmorty.png"
"https://www.multfun.tk/img/posters/milolaw.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","216818","0","0.0","2","","0","0","0.0","0","0","0","0","","1.006","","","","https://www.multfun.tk/img/posters/milolaw.png"
"https://www.multfun.tk/cartoons/simpsons","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","3547","0","0.0","2","","16","15","48.39","0","0","0","0","","1.093","","https://www.multfun.tk/cartoons/simpsons/","HTTP Redirect","https://www.multfun.tk/cartoons/simpsons"
"https://www.multfun.tk/cartoons/familyguy","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","3500","0","0.0","2","","16","15","48.39","0","0","0","0","","1.014","","https://www.multfun.tk/cartoons/familyguy/","HTTP Redirect","https://www.multfun.tk/cartoons/familyguy"
"https://www.multfun.tk/img/youtube.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","1243","0","0.0","2","","0","0","0.0","0","0","0","0","","0.57","","","","https://www.multfun.tk/img/youtube.png"
"https://www.multfun.tk/cartoons/disenchantment","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","3505","0","0.0","2","","14","14","45.16","0","0","0","0","","0.538","","https://www.multfun.tk/cartoons/disenchantment/","HTTP Redirect","https://www.multfun.tk/cartoons/disenchantment"
"https://www.multfun.tk/style/addtohomescreen.css","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","2785","0","0.0","2","","0","0","0.0","0","0","0","0","","0.576","","","","https://www.multfun.tk/style/addtohomescreen.css"
